mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
17841,Donald Alastair Trumpler,Norman  Levinson,Periodic Solutions of an Autonomous Singular Perturbation Problem,Massachusetts Institute of Technology,UnitedStates,1958,0,0
17842,Howard Emmett Conner,Norman  Levinson,A Limit Theorem for a Position Dependent Branching Process,Massachusetts Institute of Technology,UnitedStates,1961,0,0
17843,Norman Rayfield Wagner Jr.,Norman  Levinson,Existence Proof for a Nonlinear Boundary Value Problem in Ordinary Differential Equations,Massachusetts Institute of Technology,UnitedStates,1961,0,0
17844,Robert King Brayton,Norman  Levinson,On the Asymptotic Behavior of the Number of Trials Necessary to Complete a Set with Random Selection,Massachusetts Institute of Technology,UnitedStates,1961,9,15
17845,John Francis Scott-Thomas,Norman  Levinson,A Singularly Peturbed Boundary Value Problem,Massachusetts Institute of Technology,UnitedStates,1962,0,0
17846,Ronald Isadore Becker,Norman  Levinson,Periodic Solutions of Linear and Quasi-Linear Parabolic Differential Equations,Massachusetts Institute of Technology,UnitedStates,1963,-1,-1
17847,Stuart Alan Nelson,Norman  Levinson,Asymptotic Behavior of Certain Fundamental Solutions of the Klein-Gordon Equations,Massachusetts Institute of Technology,UnitedStates,1966,0,0
17848,Fritz-Erdmann  Diederichsen,Hans Julius Zassenhaus;Ernst  Witt,Über die Ausreduktion ganzzahliger Gruppendarstellungen bei arithmetischer  Äquivalenz,nat. Universität Hamburg,Germany,1940,0,0
17849,Franz  Kalscheuer,Hans Julius Zassenhaus,Die Bestimmung aller stetigen Fastkörper über dem Körper der reellen Zahlen als Grundkörper,Universität Hamburg,Germany,1940,0,0
17851,Mark  Kac,Hugo Dyonizy Steinhaus,,University of Lwów,Poland,1937,11,293
17852,Norman E. Smith,Hans Julius Zassenhaus,A Statistical Problem in the Geometry of Numbers,McGill University,Canada,1950,0,0
17853,Bernard  Noonan,Hans Julius Zassenhaus,Induced Representations of Lie Algebras,McGill University,Canada,1953,0,0
17854,Victor  Linis-Linin,Hans Julius Zassenhaus,Analysis in Nonarchimedean Spaces,McGill University,Canada,1953,0,0
17855,Jean  Maranda,Hans Julius Zassenhaus,On p-adic Integral Representations of Finite Groups,McGill University,Canada,1953,-1,13
17856,Martin  Burrow,Hans Julius Zassenhaus,A Generalization of the Method of Young Operators and its Use in Constructing Primitive Idempotents for the Representations of  GL(2q),McGill University,Canada,1954,0,0
17857,Geoffrey  Fox,Hans Julius Zassenhaus,Topology of the Field of p-adic Numbers,McGill University,Canada,1954,-1,-1
